"","country","year","web.cap","elec.cap","gdp.cap","sec.cap","ter.cap","edubux","fHIV","mHIV","tHIV","teenmom","contrac","ter.gdr","wrk.fem","pop"
"945","Korea, Dem. Rep.",2005,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23813333
"946","Korea, Rep.",2011,83.7591201534472,NA,24155.8293044196,96.7296600341797,100.800003051758,NA,NA,NA,NA,NA,NA,74.5649993419647,42.5,49779440
"947","Korea, Rep.",2010,83.7,93.34233,22151.2091243861,97.1094284057617,100.956108093262,NA,NA,NA,NA,NA,NA,73.8610029220581,42.4,49410366
"948","Korea, Rep.",2009,81.6,NA,18338.7063660256,97.13671875,101.566749572754,NA,NA,NA,NA,NA,80,71.6820001602173,42.1,49182038
"949","Korea, Rep.",2008,81,NA,20474.8255388381,96.4490737915039,101.759239196777,NA,NA,NA,NA,NA,NA,69.6780025959015,42.2,48948698
"950","Korea, Rep.",2007,78.8,NA,23101.4431035837,96.1942367553711,100.811309814453,NA,NA,NA,NA,NA,NA,67.6169991493225,42.1,48597652
"951","Korea, Rep.",2006,78.1,NA,20917.0411914357,96.7248306274414,97.5058670043945,NA,NA,NA,NA,NA,79.6,66.0149991512299,42,48371946
"952","Korea, Rep.",2005,73.5,NA,18657.4611334784,97.538948059082,93.4780502319336,NA,NA,NA,NA,NA,80.2,65.1239991188049,41.8,48138077
"953","Kosovo",2011,NA,NA,3736.83036615903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1790957
"954","Kosovo",2010,NA,100,3283.42959592982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1775680
"955","Kosovo",2009,NA,NA,3209.73283374757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1761474
"956","Kosovo",2008,NA,NA,3254.86067369521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1747383
"957","Kosovo",2007,NA,NA,2708.25908281796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1733404
"958","Kosovo",2006,NA,NA,2278.62891794514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1719536
"959","Kosovo",2005,NA,NA,2194.37265074737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1705780
"960","Kuwait",2011,65.7690706867398,NA,49294.9668618187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3124705
"961","Kuwait",2010,61.4,94.13527,38584.4795961269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2991580
"962","Kuwait",2009,50.8,NA,37160.5432396447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2850102
"963","Kuwait",2008,42,NA,54548.6153050528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2702221
"964","Kuwait",2007,34.8,NA,44902.3182666837,100.335220336914,NA,NA,NA,NA,NA,NA,NA,NA,NA,2554920
"965","Kuwait",2006,28.7911979549612,NA,42011.774334634,103.965843200684,NA,13.3700103759766,NA,NA,NA,NA,NA,NA,NA,2417445
"966","Kuwait",2005,25.9261083689107,NA,35185.9306721465,111.070106506348,NA,13.8541097640991,NA,NA,NA,NA,NA,NA,25.8,2296314
"967","Kyrgyz Republic",2011,20,NA,1123.8831680627,88.1920013427734,41.3454818725586,18.6510791778564,0.1,0.3,0.2,NA,NA,124.097001552582,41.9,5514600
"968","Kyrgyz Republic",2010,18.4,100,880.037775119109,83.9843292236328,42.1333503723145,15.9936599731445,0.1,0.3,0.2,NA,NA,130.032002925873,42.5,5447900
"969","Kyrgyz Republic",2009,17,NA,871.224389337854,84.4177017211914,44.2698516845703,18.6533508300781,0.1,0.2,0.2,NA,NA,133.69699716568,43.1,5383300
"970","Kyrgyz Republic",2008,15.7,NA,966.393627185372,85.584358215332,46.6046905517578,20.4313907623291,0.1,0.2,0.2,NA,NA,135.627996921539,NA,5318700
"971","Kyrgyz Republic",2007,14.03,NA,721.768690838857,86.864013671875,42.8268089294434,20.8832492828369,0.1,0.2,0.1,NA,NA,128.568005561829,NA,5268400
"972","Kyrgyz Republic",2006,12.3069069959465,NA,543.110702403072,87.1283493041992,43.5268898010254,19.0526008605957,0.1,0.1,0.1,NA,47.8,125.849997997284,42.8,5218400
"973","Kyrgyz Republic",2005,10.5338013405507,NA,476.480097612307,86.8735427856445,42.5346412658691,17.0972003936768,0.1,0.1,0.1,NA,NA,124.154996871948,43.3,5162600
"974","Lao PDR",2011,9,NA,1265.70934429843,43.6019096374512,17.0884799957275,NA,0.1,0.1,0.2,NA,NA,73.3410000801086,NA,6521314
"975","Lao PDR",2010,7,66,1122.85231558936,44.8393898010254,16.0879497528076,11.6530303955078,0.1,0.1,0.2,NA,NA,76.73299908638,NA,6395713
"976","Lao PDR",2009,6,NA,930.585944520078,43.6043281555176,15.9935302734375,NA,0.1,0.1,0.1,NA,NA,79.4300019741058,NA,6267968
"977","Lao PDR",2008,3.55,NA,886.759652398644,42.641731262207,13.0926399230957,13.0052099227905,0.1,0.1,0.1,NA,NA,77.2499978542328,NA,6139127
"978","Lao PDR",2007,1.64,NA,702.270131140847,42.2154083251953,11.3968801498413,17.016960144043,0.1,0.1,0.1,NA,NA,71.8550026416779,NA,6013278
"979","Lao PDR",2006,1.16989342772256,NA,585.640575155729,42.1136207580566,8.96278953552246,16.6035194396973,0.1,0.1,0.1,NA,NA,67.3039972782135,NA,5895930
"980","Lao PDR",2005,0.850357490288917,NA,472.408463061529,43.1166610717773,7.7889199256897,13.2073602676392,0.1,0.1,0.1,17,38.4,70.4689979553223,32.1,5790646
"981","Latvia",2011,69.7499545592245,NA,13827.3602570148,98.6637420654297,67.2847290039063,8.94204998016357,NA,NA,NA,NA,NA,163.6549949646,54.5,2059709
"982","Latvia",2010,68.42,100,11446.5081773717,98.5140228271484,70.5519180297852,8.12263965606689,NA,NA,NA,NA,NA,175.7120013237,54.2,2097555
"983","Latvia",2009,66.84,NA,12082.0636849112,98.3250732421875,76.7497711181641,8.99666976928711,NA,NA,NA,NA,NA,182.819998264313,54.1,2141669
"984","Latvia",2008,63.41,NA,15463.6602764616,105.705513000488,77.2715530395508,9.36797046661377,NA,NA,NA,NA,NA,188.879001140594,52.7,2177322
"985","Latvia",2007,59.17,NA,13073.3809967393,105.888809204102,78.0285720825195,9.88638973236084,NA,NA,NA,NA,NA,184.896004199982,52,2200325
"986","Latvia",2006,53.63,NA,8986.40137598063,104.215278625488,78.9548187255859,9.77717018127441,NA,NA,NA,NA,NA,180.00899553299,52.8,2218357
"987","Latvia",2005,46,NA,7165.37769860832,104.020973205566,78.8554077148438,NA,NA,NA,NA,NA,NA,178.637003898621,53.4,2238799
"988","Lebanon",2011,52,NA,9144.61761574994,76.1282119750977,49.7338409423828,5.73380994796753,NA,NA,NA,NA,NA,100.246000289917,NA,4382790
"989","Lebanon",2010,43.68,99.9,8755.84996787818,74.3497314453125,47.7966003417969,5.49027013778687,NA,NA,NA,NA,NA,103.733003139496,NA,4341092
"990","Lebanon",2009,30.14,NA,8274.13797787425,76.1444396972656,48.2080383300781,5.50299978256226,NA,NA,NA,NA,53.7,104.154002666473,NA,4246924
"991","Lebanon",2008,22.53,NA,6887.06275316445,75.2670516967773,48.2970504760742,5.86977005004883,NA,NA,NA,NA,NA,109.004998207092,NA,4186088
"992","Lebanon",2007,18.74,NA,5936.76922794839,76.0552673339844,46.6722717285156,7.34104013442993,NA,NA,NA,NA,NA,106.673002243042,32.4,4139813
"993","Lebanon",2006,15,NA,5342.47480232747,77.2925872802734,44.1002388000488,7.69319009780884,NA,NA,NA,NA,NA,103.635001182556,NA,4079823
"994","Lebanon",2005,10.14,NA,5339.42388043105,80.6659164428711,44.2195510864258,8.42131042480469,NA,NA,NA,NA,NA,105.125999450684,NA,3986865
"995","Lesotho",2011,4.2248,NA,1225.59466136489,52.037239074707,NA,NA,10.8,5.8,22.8,NA,NA,NA,NA,2029516
"996","Lesotho",2010,3.86,17,1083.0153137733,50.4048118591309,NA,NA,11.1,5.9,22.7,NA,NA,NA,NA,2008921
"997","Lesotho",2009,3.72,NA,858.742108809532,46.8736114501953,NA,NA,11.4,6.1,22.5,19.6,47,NA,NA,1989873
